S.no,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,course_id,professor,department,Quality,Difficulty,Comment
1,0.039,0.761,0.199,0.9069,0.0051732417196035385,0.026135727763175964,0.9686910510063171, FHS010,James Nichols ,Government department,5.0,2.0,"Professor Nichols is super nice and very wholesome! There is a lot of reading, but you can get by without doing very much of it. He does talk a LOT and doesn't foster as much discussion, but I think the latter might also be because people stop doing the readings a few weeks in. He does appreciate participation and gives great essay feedback!"
2,0.0,0.905,0.095,0.2724,0.2511814534664154,0.4992471933364868,0.24957138299942017, FHS010,James Nichols ,Government department,3.0,1.0,"Very chill class and teacher, very easy grader, but talks for most of the class and does not really foster discussion."
3,0.136,0.452,0.412,0.7088,0.007074548862874508,0.03331276774406433,0.9596127271652222, POLPHILOSOPHY,James Nichols ,Government department,4.0,1.0,"Awesome, easy, knows literally everything about his subject it is crazy!"
4,0.0,0.684,0.316,0.9588,0.001860302989371121,0.015117176808416843,0.9830225110054016, FHS010,James Nichols ,Government department,5.0,2.0,"Prof. Nichols is a super nice and encouraging man. And most importantly, he is extremely knowledgeable and you will learn a great deal from him. The class is pretty easy 'cause he's an easy grader. He takes rolls at the beginning of the semester but you will be fine if you don't go to this class from time to time. Highly recommend!"
5,0.0,0.512,0.488,0.8166,0.0014719314640387893,0.016393890604376793,0.9821341633796692, FHS10,James Nichols ,Government department,5.0,1.0,Good Professor. Really nice and encouraging teacher. Class moves along at an enjoyable but swift pace.
6,0.0,0.721,0.279,0.5652,0.12203234434127808,0.5022034049034119,0.37576425075531006, CIV10,James Nichols ,Government department,4.5,2.0,Not very difficult and the reading is not very difficult. He knows his stuff.
7,0.049,0.804,0.147,0.7358,0.1824524998664856,0.3505772352218628,0.46697020530700684, CIV10,James Nichols ,Government department,4.0,1.0,"If you aren't looking forward to taking Civ, take nichols. He doesn't hold you responsible for the reading and he is an easy grader. The assessments are reasonable and infrequent. The class is pretty boring, but it is important to go. Just regurgitate the lectures in your papers with a little extra insight and you'll do really well."
8,0.027,0.665,0.308,0.9645,0.005246307700872421,0.041511546820402145,0.9532421231269836, CIV10,James Nichols ,Government department,3.5,2.0,"Smart guy. Is obviously interested in the books he chose and knows alot about them. If yo don't do the reading, you can get by. It's more interesting if you do though. Was on friday at 10 which was less than ideal, but a pretty good teacher. Papers were really easy. Just pay attention in class, and expand his ideas."
9,0.105,0.864,0.031,-0.3699,0.498786062002182,0.38072389364242554,0.12049009650945663, CIV10,James Nichols ,Government department,4.0,1.0,"If you don't like the idea of having to take Civ, then Nichols is the guy for you. Discussions are more like lectures, so he doesn't hold people responsible for the reading. He grades papers generously and there aren't very many of them. You won't have fun, but it won't be that  much work and you'll do decently."
10,0.0,0.709,0.291,0.9354,0.002464053686708212,0.015393691137433052,0.9821422696113586, CIV10,James Nichols ,Government department,5.0,2.0,"Nichols is an amazing professor--managed to make a course often regarded as filler extremely interesting.  Nichols speaks animatedly and is willing to engage students in a fast-paced, firm, yet comedic manner.  Harder than other Civ sections, but well worth the added papers/readings and final.  Very accommodating.  You will enjoy this course."
11,0.033,0.791,0.176,0.8136,0.005026581231504679,0.037840068340301514,0.957133412361145, CIV10,James Nichols ,Government department,5.0,2.0,"Prof. Nichols is my favorite professor at CMC. He is so passionate about the subjects that we discuss and is always willing to discuss anything if you have questions. That being said, he is not as easy as most civ professors, but he really cares."
12,0.0,0.588,0.412,0.6369,0.003958615940064192,0.03223729878664017,0.9638041257858276, CIV10,James Nichols ,Government department,5.0,3.0,Nichols is the best civ prof period
13,0.0,0.819,0.181,0.6956,0.003785929875448346,0.04380663484334946,0.9524074792861938, GOV80,James Nichols ,Government department,4.0,3.0,"Nichols may be a goofy bald man, but between the giggles and the chin rubbing, this might have been the most i've learned in any class.  interesting stuff too."
14,0.0,0.543,0.457,0.9091,0.06282905489206314,0.13994702696800232,0.7972239255905151, CIV10,James Nichols ,Government department,4.5,2.0,Unbelievable professor. Makes class a lot of fun and is an interesting professor. Not too bad looking either-and he likes the Dodgers
15,0.047,0.825,0.129,0.5994,0.27021241188049316,0.41576921939849854,0.3140183091163635, CIV10,James Nichols ,Government department,3.5,3.0,Very goofy guy. During discussions he would stop for 2 SECONDS to see if we had any comments and launch into his own exposition. In retrospect the class was pretty easy and I got exactly what I thought I would get from Civ 10. Just enough.
16,0.073,0.877,0.051,-0.2023,0.9220790863037109,0.06837118417024612,0.009549818001687527, CIV10,James Nichols ,Government department,1.0,4.0,"This guy may be smart but he's a loony-tune. Talks endlessly, never listens to a word edgewise, and acts out every nervous compulsive twitch in class while he's rambling.  Drove me right out of the room."
